北茅ケ崎,香川,2.1,相模
香川,寒川,1.7,相模
寒川,宮山,2.1,相模
宮山,倉見,1.4,相模
倉見,門沢橋,1.4,相模
門沢橋,社家,1.6,相模
社家,厚木,2.6,相模
厚木,海老名,1.7,相模
海老名,入谷,3.0,相模
入谷,相武台下,1.7,相模
相武台下,下溝,2.9,相模
下溝,原当麻,1.3,相模
原当麻,番田,2.1,相模
番田,上溝,1.5,相模
上溝,南橋本,2.9,相模
熱海,来宮,1.2,伊東
来宮,伊豆多賀,4.8,伊東
伊豆多賀,網代,2.7,伊東
網代,宇佐美,4.3,伊東
宇佐美,伊東,3.9,伊東
神田,御茶ノ水,1.3,中央
御茶ノ水,水道橋,0.8,中央
水道橋,飯田橋,0.9,中央
飯田橋,市ケ谷,1.5,中央
市ケ谷,四ツ谷,0.8,中央
四ツ谷,信濃町,1.3,中央
信濃町,千駄ケ谷,0.7,中央
千駄ケ谷,代々木,1.0,中央
新宿,(中)大久保,1.4,中央
(中)大久保,東中野,1.1,中央
東中野,中野,1.9,中央
中野,高円寺,1.4,中央
高円寺,阿佐ケ谷,1.2,中央
阿佐ケ谷,荻窪,1.4,中央
荻窪,西荻窪,1.9,中央
西荻窪,吉祥寺,1.9,中央
吉祥寺,三鷹,1.6,中央
三鷹,武蔵境,1.6,中央
武蔵境,東小金井,1.7,中央
東小金井,武蔵小金井,1.7,中央
武蔵小金井,国分寺,2.3,中央
国分寺,西国分寺,1.4,中央
西国分寺,国立,1.7,中央
国立,立川,3.0,中央
立川,日野,3.3,中央
日野,豊田,2.3,中央
豊田,八王子,4.3,中央
八王子,西八王子,2.4,中央
西八王子,高尾,3.3,中央
高尾,相模湖,9.5,中央
相模湖,藤野,3.7,中央
藤野,上野原,3.5,中央
上野原,四方津,4.2,中央
四方津,梁川,3.6,中央
梁川,鳥沢,3.6,中央
鳥沢,猿橋,4.1,中央
猿橋,大月,2.5,中央
大月,初狩,6.1,中央
初狩,笹子,6.5,中央
笹子,甲斐大和,6.1,中央
甲斐大和,勝沼ぶどう郷,6.0,中央
勝沼ぶどう郷,塩山,4.4,中央
塩山,東山梨,3.2,中央
東山梨,山梨市,2.1,中央
山梨市,春日居町,2.8,中央
春日居町,石和温泉,2.8,中央
石和温泉,酒折,3.4,中央
酒折,甲府,2.9,中央
甲府,竜王,4.5,中央
